City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,71.19,92,97,5.99,ZA,1732549160
1,argo,37.6333,22.7333,51.03,39,0,1.66,GR,1732549161
2,hithadhoo,-0.6,73.0833,82.83,76,100,14.12,MV,1732549162
3,kyaikkami,16.08,97.5675,82.8,69,42,5.68,MM,1732549163
4,grytviken,-54.2811,-36.5092,37.42,75,100,1.88,GS,1732549165
5,strathmore,51.0501,-113.3852,-2.07,84,95,2.3,CA,1732549166
6,harpanahalli,14.8,75.9833,70.47,50,88,6.98,IN,1732549167
7,olonkinbyen,70.9221,-8.7187,24.6,61,68,10.6,SJ,1732549169
8,port elizabeth,-33.918,25.5701,70.09,95,75,24.16,ZA,1732548917
9,edinburgh of the seven seas,-37.0676,-12.3116,54.59,67,54,9.84,SH,1732549176
10,arraial do cabo,-22.9661,-42.0278,78.76,61,20,17.27,BR,1732549177
11,pachino,36.7186,15.0907,61.75,65,17,13.06,IT,1732549178
12,udachny,66.4167,112.4,-3.46,91,100,29.48,RU,1732549179
13,tete,-16.1564,33.5867,93.29,43,40,9.22,MZ,1732549181
14,adamstown,-25.066,-130.1015,71.82,77,17,15.19,PN,1732549182
15,naze,28.3667,129.4833,70.72,64,99,14.61,JP,1732549183
16,georgetown,5.4112,100.3354,80.55,89,20,2.3,MY,1732548978
17,cantonment,31.5239,74.3764,67.98,60,0,0.0,PK,1732549060
18,puerto ayora,-0.7393,-90.3518,75.54,80,65,5.99,EC,1732549194
19,tonekabon,36.8163,50.8738,60.75,83,15,3.56,IR,1732549195
20,revda,56.801,59.9303,22.68,90,31,1.28,RU,1732549196
21,albany,42.6001,-73.9662,40.46,62,7,1.99,US,1732549197
22,haiku-pauwela,20.9219,-156.3051,69.26,87,100,5.99,US,1732549198
23,los llanos de aridane,28.6585,-17.9182,69.55,87,75,5.75,ES,1732549200
24,ribeira grande,38.5167,-28.7,67.77,94,75,28.99,PT,1732549202
25,port-aux-francais,-49.35,70.2167,40.37,94,80,37.8,TF,1732549204
26,waitangi,-43.9535,-176.5597,54.82,97,81,5.99,NZ,1732549205
27,praia da vitoria,38.7333,-27.0667,68.25,77,75,22.79,PT,1732548969
28,portland,45.5234,-122.6762,47.08,94,100,5.01,US,1732549207
29,arenapolis,-14.4503,-56.8461,90.75,49,42,3.87,BR,1732549208
30,dire dawa,9.5931,41.8661,74.14,40,2,4.14,ET,1732549211
31,iqaluit,63.7506,-68.5145,6.53,71,40,19.57,CA,1732549213
32,am timan,11.0297,20.2827,84.29,17,19,4.03,TD,1732549214
33,nemuro,43.3236,145.575,35.01,77,52,13.13,JP,1732549215
34,ushuaia,-54.8,-68.3,51.46,46,75,18.41,AR,1732549012
35,ustyuzhna,58.8394,36.4321,31.14,89,100,16.58,RU,1732549222
36,lobujya,27.95,86.8167,9.0,27,0,2.71,NP,1732549223
37,blackmans bay,-43.0167,147.3167,57.33,91,100,1.01,AU,1732549224
38,bredasdorp,-34.5322,20.0403,65.62,69,74,26.98,ZA,1732549225
39,isafjordur,66.0755,-23.124,21.24,58,0,2.3,IS,1732549226
40,lake albert,-35.1667,147.3833,73.85,71,100,1.16,AU,1732549228
41,bethel,41.3712,-73.414,46.22,57,0,6.91,US,1732548945
42,poronaysk,49.2167,143.1167,21.99,66,0,3.89,RU,1732549230
43,vorgashor,67.5833,63.95,20.68,93,100,20.45,RU,1732549232
44,khandyga,62.6667,135.6,-23.44,99,24,2.19,RU,1732549233
45,klyuchi,52.2667,79.1667,13.55,90,10,4.88,RU,1732549234
46,kailua-kona,19.6406,-155.9956,71.56,76,0,4.61,US,1732549235
47,college,64.8569,-147.8028,20.17,85,100,3.44,US,1732549236
48,pangkalanbuun,-2.6833,111.6167,75.99,95,100,1.88,ID,1732549238
49,berdigestyakh,62.0989,126.6992,-28.61,99,44,2.75,RU,1732549239
50,st. john's,47.5649,-52.7093,46.98,93,75,4.61,CA,1732549175
51,san luis de la loma,17.2706,-100.8939,81.5,68,3,1.14,MX,1732549241
52,chimbote,-9.0853,-78.5783,70.97,75,84,9.13,PE,1732549242
53,ar raqqah,35.95,39.0167,48.67,40,5,9.66,SY,1732549243
54,cabcaben,14.454,120.5914,79.21,83,31,11.25,PH,1732549246
55,margaret river,-33.95,115.0667,53.15,60,3,11.16,AU,1732549247
56,anadyr,64.75,177.4833,7.3,77,100,11.18,RU,1732549248
57,minas de marcona,-15.2119,-75.1103,68.83,51,50,16.93,PE,1732549249
58,harper,4.375,-7.7169,82.8,69,30,7.67,LR,1732549250
59,kodinsk,58.6881,99.1844,11.26,98,100,3.87,RU,1732549251
60,badger,64.8,-147.5333,19.65,88,100,3.44,US,1732549252
61,laguna,38.421,-121.4238,52.05,89,100,14.97,US,1732549253
62,knyaze-volkonskoye,48.4642,135.4567,16.14,79,72,5.28,RU,1732549255
63,east london,-33.0153,27.9116,72.54,88,100,11.5,ZA,1732549256
64,papatowai,-46.5619,169.4708,52.3,69,18,14.67,NZ,1732549257
65,brisas de zicatela,15.8369,-97.0419,75.72,73,40,9.22,MX,1732549258
66,alesund,62.4723,6.1549,46.54,71,20,9.22,NO,1732549259
67,dunedin,-45.8742,170.5036,52.81,85,50,3.0,NZ,1732549260
68,tiksi,71.6872,128.8694,3.11,58,53,29.33,RU,1732549263
69,afaahiti,-17.75,-149.2833,76.5,85,86,14.58,PF,1732549264
70,zakynthos,37.7914,20.8953,56.52,72,0,0.0,GR,1732549265
71,vilyuchinsk,52.9306,158.4028,21.47,78,100,8.75,RU,1732549267
72,prineville,44.2999,-120.8345,40.44,71,20,5.75,US,1732549268
73,nova sintra,14.8667,-24.7167,78.33,76,4,14.36,CV,1732549269
74,nogliki,51.8333,143.1667,12.2,87,8,7.9,RU,1732549271
75,warangal,18.0,79.5833,67.71,54,77,4.52,IN,1732549272
76,summerlin south,36.1027,-115.3811,45.99,60,87,0.92,US,1732549273
77,port pirie,-33.1833,138.0167,70.41,77,86,2.93,AU,1732549274
78,pisco,-13.7,-76.2167,71.65,73,0,8.05,PE,1732549275
79,nuku'alofa,-21.1333,-175.2,75.54,94,75,6.91,TO,1732549276
80,jamestown,42.097,-79.2353,47.01,79,40,6.91,US,1732549278
81,namsos,64.4662,11.4957,37.31,81,0,12.66,NO,1732549279
82,tisul',55.7611,88.3122,21.09,86,82,5.66,RU,1732549280
83,hondarribia,43.372,-1.7945,56.17,89,100,6.91,ES,1732549037
84,enewetak,11.3474,162.3373,82.6,82,100,19.01,MH,1732549282
85,caluula,11.9661,50.7569,79.65,69,0,11.7,SO,1732549283
86,lorengau,-2.0226,147.2712,81.41,83,94,8.32,PG,1732549286
87,saint croix,17.7397,-64.7388,86.45,77,20,18.41,VI,1732549181
88,ancud,-41.8697,-73.8203,52.38,93,100,17.22,CL,1732549283
89,al jawf,29.5,38.75,58.32,44,0,7.65,SA,1732549291
90,wailua homesteads,22.0669,-159.378,65.19,88,20,6.91,US,1732549292
91,carahue,-38.7,-73.1667,67.84,39,68,9.55,CL,1732549293
92,san patricio,28.017,-97.5169,75.15,60,0,14.38,US,1732549294
93,midvagur,62.0511,-7.1939,38.23,75,100,28.77,FO,1732549295
94,taupo,-38.6833,176.0833,55.89,91,100,7.07,NZ,1732549296
95,port lincoln,-34.7333,135.8667,63.28,93,97,7.78,AU,1732549297
96,salekhard,66.53,66.6019,21.42,84,36,16.4,RU,1732549298
97,saint-philippe,-21.3585,55.7679,76.14,85,55,10.83,RE,1732549300
98,thompson,55.7435,-97.8558,6.96,78,100,11.5,CA,1732549301
99,shalkar,47.8288,59.6258,33.31,69,0,10.8,KZ,1732549303
100,port douglas,-16.4833,145.4667,77.02,71,15,9.4,AU,1732549304
101,selfoss,63.9331,-20.9971,18.5,81,3,5.86,IS,1732549305
102,palmer,42.1584,-72.3287,45.52,45,40,9.22,US,1732549129
103,ghadamis,30.1337,9.5007,66.96,38,0,8.95,LY,1732549308
104,boca suno,-0.7167,-77.1333,90.1,48,26,4.34,EC,1732549309
105,san luis,-33.295,-66.3356,68.31,79,99,15.32,AR,1732549289
106,mugia,43.1041,-9.2179,57.9,67,4,15.97,ES,1732549311
107,coahuayana de hidalgo,18.7,-103.6583,83.64,65,5,1.88,MX,1732549312
108,puerto natales,-51.7236,-72.4875,55.85,50,20,10.36,CL,1732549313
109,galliano,29.4422,-90.2992,75.2,69,40,6.91,US,1732549315
110,kelo,9.3086,15.8066,86.32,19,4,4.54,TD,1732549317
111,opuwo,-18.0607,13.84,89.92,16,48,21.03,NA,1732549322
112,vadso,70.0744,29.7487,32.16,86,75,24.16,NO,1732549328
113,kavieng,-2.5744,150.7967,82.09,81,97,11.54,PG,1732549329
114,kodiak,57.79,-152.4072,26.11,86,0,4.61,US,1732549332
115,stanley,54.868,-1.6985,44.62,75,40,20.71,GB,1732549333
116,dudinka,69.4058,86.1778,18.28,94,99,16.44,RU,1732549334
117,kuanda,56.3161,116.0806,-11.83,95,80,0.78,RU,1732549335
118,tsiombe,-25.3,45.4833,76.57,88,100,14.94,MG,1732549336
119,hammerfest,70.6634,23.6821,34.25,86,75,8.05,NO,1732549341
120,west island,-12.1568,96.8225,78.78,94,100,10.36,CC,1732549343
121,sao felix do xingu,-6.6447,-51.995,95.4,37,87,4.72,BR,1732549346
122,khanty-mansiysk,61.0042,69.0019,26.71,59,0,6.71,RU,1732549347
123,aykhal,66.0,111.5,-8.36,96,100,33.98,RU,1732549348
124,saldanha,-33.0117,17.9442,62.65,79,83,12.28,ZA,1732549349
125,port mathurin,-19.6833,63.4167,77.22,74,6,16.51,MU,1732549350
126,castillos,-34.1667,-53.8333,77.61,71,100,8.81,UY,1732549352
127,mana,5.6592,-53.7767,83.97,70,28,11.18,GF,1732549353
128,rio grande,-32.035,-52.0986,77.68,66,100,6.78,BR,1732549354
129,ola,59.5833,151.2833,2.5,70,79,12.55,RU,1732549356
130,amga,60.8953,131.9608,-12.73,100,97,0.96,RU,1732549357
131,sassari,40.7272,8.5603,65.98,74,0,1.3,IT,1732549358
132,namibe,-15.1961,12.1522,71.89,73,0,11.21,AO,1732549360
133,masina,-4.3836,15.3914,89.94,86,71,3.44,CD,1732549361
134,novodvinsk,64.4165,40.8122,31.75,85,100,19.93,RU,1732549362
135,protaras,35.0125,34.0583,50.99,47,86,5.99,CY,1732549363
136,kiunga,-6.1219,141.2906,74.03,99,100,1.83,PG,1732549364
137,namie,37.4833,141.0,40.98,78,0,3.38,JP,1732549365
138,sogndal,61.2283,7.1003,41.38,100,75,0.0,NO,1732549367
139,longyearbyen,78.2186,15.6401,13.84,73,100,19.57,SJ,1732549368
140,likhovskoy,48.1519,40.1792,32.41,96,100,16.62,RU,1732549369
141,mount pearl,47.5166,-52.7813,46.15,95,75,4.61,CA,1732549160
142,trinidad,-14.8333,-64.9,87.78,70,40,13.8,BO,1732549371
143,khambhat,22.3,72.6167,75.2,42,0,9.93,IN,1732549372
144,nova vicosa,-17.8919,-39.3719,79.92,54,5,11.41,BR,1732549373
145,hamilton,39.1834,-84.5333,59.77,73,100,11.5,US,1732549187
146,nadi,-17.8,177.4167,75.2,88,100,6.91,FJ,1732549376
147,duartina,-22.4144,-49.4039,83.98,46,29,6.73,BR,1732549377
148,el golaa,33.4849,9.0068,65.55,51,0,3.71,TN,1732549378
149,bilibino,68.0546,166.4372,-29.47,100,83,2.57,RU,1732549379
150,rumoi,43.9344,141.6428,30.65,81,15,3.94,JP,1732549380
151,punta arenas,-53.15,-70.9167,51.91,54,0,9.22,CL,1732549382
152,makokou,0.5738,12.8642,74.25,94,100,2.68,GA,1732549383
153,machali,-34.1833,-70.6667,70.88,43,0,11.5,CL,1732549384
154,musan-up,42.2261,129.2078,33.98,94,100,3.76,KP,1732549385
155,alofi,-19.0595,-169.9187,76.89,94,75,4.61,NU,1732549386
156,llanes,43.4198,-4.7549,57.38,74,53,6.46,ES,1732549387
157,richfield,44.8833,-93.283,33.28,85,100,12.66,US,1732549388
158,nagqu,31.5,92.0,19.9,24,88,1.99,CN,1732549389
159,loango,-4.6719,11.8312,83.86,79,40,8.05,CG,1732549390
160,gebeit,21.0667,36.3167,70.32,65,62,14.27,SD,1732549392
161,touros,-5.1989,-35.4608,84.79,56,62,12.21,BR,1732549393
162,doka,13.5167,35.7667,83.8,28,5,7.78,SD,1732549394
163,hawaiian paradise park,19.5933,-154.9731,65.73,99,0,5.75,US,1732549395
164,qaqortoq,60.7167,-46.0333,16.48,70,2,2.71,GL,1732549396
165,castle vale,52.5213,-1.7845,48.49,77,75,10.36,GB,1732549397
166,north bend,43.4065,-124.2243,46.31,93,100,11.5,US,1732549398
167,atar,20.5169,-13.0499,94.59,8,0,8.61,MR,1732549399
168,bandon,51.7469,-8.7425,44.19,90,10,20.6,IE,1732549401
169,hitoyoshi,32.2167,130.75,51.35,91,77,7.14,JP,1732549402
170,alotau,-10.3069,150.4462,75.7,94,100,1.92,PG,1732549403
171,ilulissat,69.2167,-51.1,30.22,93,75,18.41,GL,1732549405
172,crane,31.3974,-102.3501,66.02,22,80,15.43,US,1732549406
173,aldinga beach,-35.2793,138.4604,71.67,87,40,5.12,AU,1732549407
174,chibougamau,49.9168,-74.3659,29.82,93,100,6.91,CA,1732549408
175,la passe,45.5549,-0.8967,54.46,76,100,14.03,FR,1732549409
176,mazagao,-0.115,-51.2894,94.95,41,7,6.89,BR,1732549411
177,griffith,41.5284,-87.4237,54.55,75,40,0.0,US,1732549353
178,invercargill,-46.4,168.35,53.02,74,42,15.99,NZ,1732549415
179,weno,7.4515,151.8468,84.15,84,100,4.61,FM,1732549416
180,korla,41.7597,86.1469,33.22,40,100,5.19,CN,1732549417
181,petropavlovsk-kamchatsky,53.0452,158.6483,19.99,86,40,2.24,RU,1732549418
182,akureyri,65.6835,-18.0878,12.13,79,0,4.61,IS,1732549421
183,malango,-2.9627,119.9001,68.05,99,100,1.7,ID,1732549422
184,howard springs,-12.497,131.047,80.51,94,100,3.09,AU,1732549423
185,ascencion de guarayos,-15.8963,-63.1881,94.59,40,41,6.64,BO,1732549424
186,rice lake,45.5061,-91.7382,35.28,93,100,8.05,US,1732549369
187,planaltina,-15.4528,-47.6142,71.11,85,99,7.63,BR,1732549428
188,yellowknife,62.456,-114.3525,17.42,96,100,12.66,CA,1732549429
189,dhidhdhoo,6.8833,73.1,82.78,71,99,7.05,MV,1732549430
190,avarua,-21.2078,-159.775,75.25,88,75,2.3,CK,1732549433
191,linqiong,30.4159,103.4609,46.63,68,37,2.33,CN,1732549434
192,balabac,7.9868,117.0645,82.17,83,100,14.88,PH,1732549435
193,katabu,-4.9333,122.5167,76.77,93,100,1.63,ID,1732549436
194,aasiaat,68.7098,-52.8699,30.81,96,100,29.42,GL,1732549437
195,pontes e lacerda,-15.2261,-59.3353,95.83,40,31,6.93,BR,1732549153
196,suntar,62.1444,117.6319,-24.5,100,42,4.0,RU,1732549439
197,sanctuary point,-35.1114,150.629,63.57,96,72,8.25,AU,1732549441
198,vorkuta,67.5,64.0,20.88,93,100,20.13,RU,1732549442
199,holualoa,19.6228,-155.9522,67.84,78,0,4.61,US,1732549443
200,okakarara,-20.5833,17.4333,91.99,17,74,12.55,NA,1732549444
201,warah,27.4481,67.7978,76.62,31,1,3.56,PK,1732549445
202,salalah,17.0151,54.0924,80.69,69,20,4.61,OM,1732549447
203,new norfolk,-42.7826,147.0587,56.71,90,98,1.21,AU,1732549448
204,bowling green,36.9903,-86.4436,64.33,68,100,13.8,US,1732549449
205,chlmec,48.8863,21.9393,39.34,73,100,5.77,SK,1732549450
206,funadhoo,6.15,73.2667,82.42,76,100,7.7,MV,1732549452
207,alo,6.5486,4.2686,84.13,68,99,10.22,NG,1732549453
208,cochrane,51.1834,-114.4687,0.32,59,100,2.3,CA,1732549204
209,lompoc,34.6391,-120.4579,55.02,87,100,8.05,US,1732549456
210,alice springs,-23.7,133.8833,71.15,88,49,4.61,AU,1732549457
211,gorontalo,0.5412,123.0595,75.7,98,100,3.15,ID,1732549458
212,tazacorte,28.629,-17.9293,72.57,87,75,5.75,ES,1732549459
213,tadine,-21.55,167.8833,73.53,91,99,14.85,NC,1732549460
214,chicoana,-25.1009,-65.5331,87.85,48,90,4.9,AR,1732549461
215,dundee,56.5,-2.9667,45.16,79,20,32.21,GB,1732549463
216,kapuskasing,49.4169,-82.4331,26.69,100,75,1.14,CA,1732549464
217,zeya,53.75,127.2667,13.14,94,100,5.68,RU,1732549465
218,lagoa,39.05,-27.9833,65.77,85,100,29.93,PT,1732549466
219,burao,9.5221,45.5336,76.12,49,17,11.92,SO,1732549467
220,tolanaro,-25.0319,46.9987,82.47,83,75,13.8,MG,1732549468
221,natal,-5.795,-35.2094,88.45,58,75,16.11,BR,1732549391
222,quipapa,-8.8278,-36.0117,93.13,33,41,8.46,BR,1732549471
223,fale old settlement,-9.3852,-171.2468,83.3,75,98,15.93,TK,1732549473
224,muli,2.9167,73.5667,81.73,76,100,9.6,MV,1732549474
225,wucheng,29.6008,118.175,46.38,90,100,4.85,CN,1732549475
226,lufilufi,-13.8745,-171.5986,80.85,77,89,12.06,WS,1732549476
227,iskateley,67.6803,53.1512,26.83,85,100,28.83,RU,1732549478
228,chonchi,-42.6128,-73.8092,51.12,98,100,8.52,CL,1732549479
229,kelkit,40.1298,39.4361,17.64,96,100,1.3,TR,1732549480
230,aberdeen,57.1437,-2.0981,47.19,74,40,19.57,GB,1732549442
231,gilgit,35.9221,74.3087,34.81,56,1,3.62,PK,1732549365
232,tralee,52.2704,-9.7026,44.85,93,40,6.91,IE,1732549483
233,atafu village,-8.5421,-172.5159,82.98,76,59,17.47,TK,1732549485
234,kishorganj,24.4333,90.7667,68.49,68,55,6.29,BD,1732549486
235,aurangabad,19.8833,75.3333,64.49,63,20,2.3,IN,1732549487
236,terrasson-lavilledieu,45.1301,1.3014,51.87,96,100,4.83,FR,1732549488
237,bac lieu,9.285,105.7244,80.02,85,100,13.82,VN,1732549489
238,zinjibar,13.1287,45.3807,80.46,65,2,12.71,YE,1732549491
239,zouerate,22.7187,-12.4521,88.68,9,0,9.93,MR,1732549492
240,quellon,-43.1167,-73.6167,51.01,95,100,19.62,CL,1732549493
241,colonia,50.9333,6.95,57.45,85,100,3.0,DE,1732549401
242,inhambane,-23.865,35.3833,84.18,70,0,11.99,MZ,1732549495
243,kerikeri,-35.2268,173.9474,55.9,88,87,3.49,NZ,1732549497
244,brookings,44.3114,-96.7984,20.17,78,0,13.8,US,1732549430
245,camacupa,-12.0167,17.4833,66.16,93,100,7.07,AO,1732549500
246,priargunsk,50.3691,119.1012,13.5,94,100,10.76,RU,1732549501
247,barra de santo antonio,-9.4047,-35.5072,82.11,68,23,15.77,BR,1732549503
248,susuman,62.7833,148.1667,-32.84,95,29,0.56,RU,1732549504
249,ketchikan,55.3422,-131.6461,29.34,66,78,3.2,US,1732549507
250,tamanrasset,22.785,5.5228,76.91,14,0,3.44,DZ,1732549508
251,kirakira,-10.4544,161.9205,80.42,83,98,2.62,SB,1732549511
252,hovd,48.0056,91.6419,13.98,74,6,5.99,MN,1732549512
253,umluj,25.0213,37.2685,72.91,65,3,13.04,SA,1732549514
254,puerto ayacucho,5.6639,-67.6236,90.3,58,100,1.61,VE,1732549515
255,emerald,-23.5333,148.1667,70.75,69,98,10.45,AU,1732549516
256,walvis bay,-22.9575,14.5053,72.55,56,0,27.63,NA,1732549517
257,whitby,54.4877,-0.615,46.38,75,6,5.01,GB,1732549519
258,tura,25.5198,90.2201,61.36,88,67,4.12,IN,1732549520
259,nema,57.5067,50.5011,30.74,96,99,4.18,RU,1732549521
260,santyoku,37.4406,129.1708,53.11,79,100,10.36,KR,1732549523
261,mount gambier,-37.8333,140.7667,56.12,96,4,4.83,AU,1732549524
262,fuqing,25.725,119.3794,61.34,95,9,4.38,CN,1732549525
263,lihue,21.9789,-159.3672,65.79,88,20,6.91,US,1732549526
264,kourou,5.1552,-52.6478,85.71,64,49,6.6,GF,1732549527
265,tumpat,6.1978,102.171,82.38,83,20,4.61,MY,1732549533
266,zaragoza,41.6561,-0.8773,61.81,60,40,14.97,ES,1732549540
267,puli,23.9664,120.9695,63.72,87,4,5.06,TW,1732549544
268,san antonio de pale,-1.4014,5.6325,78.78,83,100,12.08,GQ,1732549545
269,vila velha,-20.3297,-40.2925,78.75,68,40,10.36,BR,1732549546
270,ridder,50.355,83.5133,22.33,75,9,5.41,KZ,1732549547
271,porto murtinho,-21.6989,-57.8825,103.08,24,52,10.92,BR,1732549549
272,porto empedocle,37.2934,13.5264,60.98,72,15,1.81,IT,1732549551
273,machico,32.7,-16.7667,73.0,79,40,5.75,PT,1732549563
274,taber,49.8167,-112.1518,5.0,85,100,4.61,CA,1732549564
275,istaravshan,39.9142,69.0033,48.92,38,25,5.17,TJ,1732549565
276,eyl,7.9803,49.8164,79.77,77,18,16.2,SO,1732549566
277,greenwood,34.1668,-82.1165,63.82,67,29,4.0,US,1732549520
278,whitehorse,60.7161,-135.0538,5.02,77,75,18.41,CA,1732549569
279,uyuni,-20.4597,-66.825,57.81,54,100,6.4,BO,1732549549
280,twentynine palms,34.1356,-116.0542,51.85,44,100,2.3,US,1732549571
281,raduzhny,62.0961,77.475,23.14,92,16,11.05,RU,1732549572
282,lebu,-37.6167,-73.65,62.19,66,4,15.99,CL,1732549573
283,zhalantun,48.0,122.7167,22.21,81,100,13.06,CN,1732549574
284,igarka,67.4667,86.5833,18.55,95,77,9.82,RU,1732549575
285,glace bay,46.1969,-59.957,45.99,87,75,10.36,CA,1732549576
286,al hazm,16.1641,44.7769,77.11,23,0,7.49,YE,1732549578
287,byron bay,-28.65,153.6167,65.41,89,4,3.4,AU,1732549579
288,san jose del guaviare,2.5729,-72.6459,83.98,64,30,3.0,CO,1732549580
289,kabin buri,13.9511,101.7177,77.94,73,37,3.78,TH,1732549581
290,ixtapa,20.7,-105.2,77.23,83,0,5.75,MX,1732549582
291,matane,48.8286,-67.522,40.39,88,100,6.51,CA,1732549345
292,torghay,49.6339,63.4981,30.83,75,0,11.52,KZ,1732549585
293,drammen,59.7439,10.2045,47.68,96,100,6.78,NO,1732549324
